dataset,min_silence_len,silence_thresh,N_words,precision,recall,f1,MAE,RMSE,R2
crowd_train,150,-23,1,1,0.5355880868248359,0.6975673898750822,2.240787481070166,3.627047977598604,0
crowd_train,300,-17,2,1,0.5355880868248359,0.6975673898750822,3.578495709237759,5.571842747260723,0
crowd_train,100,-28,1,1,0.5345784957092378,0.6967105263157894,2.082281675921252,3.219623701522329,0
crowd_train,100,-17,1,1,0.5345784957092378,0.6967105263157894,2.352852094901565,3.976267303115491,0
crowd_train,100,-27,1,1,0.5315497223624432,0.6941331575477917,2.043917213528521,3.097848987494149,0
crowd_train,250,-16,2,1,0.5300353356890459,0.6928406466512702,3.601211509338718,5.64094786196642,0
crowd_train,100,-29,1,1,0.5275113579000504,0.6906807666886978,2.153457849570924,3.324909429713853,0
crowd_train,200,-15,2,1,0.5224634023220596,0.6863395225464191,3.689550731953559,5.795218137044658,0
crowd_train,150,-24,1,1,0.5209490156486623,0.6850315300365084,2.318021201413428,3.692086028630246,0
crowd_train,150,-25,1,1,0.519434628975265,0.6837209302325581,2.348813730439172,3.728074046056808,0
crowd_train,150,-18,1,1,0.519434628975265,0.6837209302325581,2.50580514891469,4.220093278489463,0
crowd_train,100,-30,1,1,0.5128722867238769,0.6780113446780114,2.223624432104998,3.451034858582851,0
crowd_train,100,-16,1,1,0.5118626956082787,0.6771285475792989,2.576476527006562,4.346315607955501,0
crowd_train,150,-27,1,1,0.5113579000504795,0.676686706746827,2.458354366481575,3.935497084790144,0
crowd_train,150,-26,1,1,0.5037859666834932,0.6700234978180597,2.427057041898031,3.842954441438282,0
crowd_train,300,-16,2,1,0.502776375567895,0.6691299966409138,3.813225643614336,5.868317727684316,0
crowd_train,150,-17,1,1,0.5007571933366987,0.667339387823747,2.683493185259969,4.518513154870974,0
crowd_train,100,-31,1,1,0.4962140333165068,0.6632928475033738,2.320545179202423,3.617153032786234,0
crowd_train,150,-28,1,1,0.4911660777385159,0.6587677725118484,2.551236749116608,4.082070719983671,0
crowd_train,250,-15,2,1,0.4906612821807168,0.6583135794107687,3.919232710752145,6.02929077913346,0
crowd_train,200,-21,1,1,0.4820797576981323,0.6505449591280653,2.659767794043412,4.300605125119128,0
crowd_train,150,-29,1,1,0.4815749621403332,0.6500851788756389,2.647147905098435,4.264595450495353,0
crowd_train,200,-20,1,1,0.4815749621403332,0.6500851788756389,2.691569914184755,4.341783655417353,0
crowd_train,200,-19,1,1,0.480565371024735,0.649164677804296,2.759212518929834,4.477437970807983,0
crowd_train,100,-32,1,1,0.4775365976779404,0.6463956269217629,2.402322059565876,3.760162068102218,0
crowd_train,100,-15,1,1,0.4745078243311459,0.6436152002738788,2.888440181726401,4.839785477993155,0
crowd_train,150,-30,1,1,0.4684502776375568,0.6380199381230663,2.730439172135285,4.407499001790294,0
crowd_train,200,-22,1,1,0.4674406865219586,0.6370829033367732,2.685512367491166,4.309340898596091,0
crowd_train,150,-16,1,1,0.4649167087329631,0.6347346657477602,2.975769813225644,4.962606258645176,0
crowd_train,300,-15,2,1,0.4649167087329631,0.6347346657477602,4.099444724886421,6.199078272499181,0
crowd_train,100,-33,1,1,0.463907117617365,0.6337931034482759,2.496718828874306,3.894494489613703,0
crowd_train,150,-31,1,1,0.4608783442705704,0.630960608154803,2.820292781423523,4.51979771987325,0
crowd_train,100,-34,1,1,0.4578495709237759,0.6281163434903048,2.590610802624937,4.043429055393079,0
crowd_train,200,-18,1,1,0.4578495709237759,0.6281163434903048,2.885411408379606,4.682337094478583,0
crowd_train,200,-23,1,1,0.4563351842503786,0.6266897746967071,2.734982332155477,4.349334286182559,0
crowd_train,100,-35,1,1,0.4492680464411913,0.6199930337861372,2.669358909641595,4.19068460467146,0
crowd_train,50,-29,1,1,0.447753659767794,0.6185495118549512,2.516405855628471,3.688734777735383,0
crowd_train,100,-36,1,1,0.447753659767794,0.6185495118549512,2.747097425542655,4.333521009668904,0
crowd_train,200,-24,1,1,0.4462392730943968,0.6171029668411867,2.809692074709742,4.447120457493006,0
crowd_train,50,-27,1,1,0.4452296819787986,0.6161369193154034,2.47804139323574,3.577440674124501,0
crowd_train,150,-32,1,1,0.4447248864209995,0.6156533892382948,2.884906612821807,4.636455416465719,0
crowd_train,50,-26,1,1,0.4432104997476022,0.6142007694998252,2.504795557799091,3.631290343779724,0
crowd_train,100,-37,1,1,0.4411913175164058,0.6122591943957968,2.815749621403332,4.482170635895987,0
crowd_train,150,-33,1,1,0.4406865219586067,0.6117729502452698,2.95002523977789,4.744241175482744,0
crowd_train,50,-28,1,1,0.4386673397274104,0.6098245614035088,2.513881877839475,3.646826533545962,0
crowd_train,50,-32,1,1,0.4376577486118122,0.6088483146067416,2.584048460373549,3.919881628805459,0
crowd_train,50,-25,1,1,0.4366481574962141,0.6078706957132819,2.484098939929329,3.585193061501467,0
crowd_train,200,-17,1,1,0.4366481574962141,0.6078706957132819,3.075719333669864,5.0,0
crowd_train,50,-34,1,1,0.4356385663806159,0.6068917018284107,2.65017667844523,4.022275180474463,0
crowd_train,200,-27,1,1,0.4356385663806159,0.6068917018284107,2.959616355376073,4.711837585015196,0
crowd_train,150,-34,1,1,0.4356385663806159,0.6068917018284107,3.01110550227158,4.844737253039049,0
crowd_train,50,-31,1,1,0.4346289752650176,0.605911330049261,2.567895002523978,3.848664190663916,0
crowd_train,50,-19,1,1,0.4341241797072186,0.6054206265399507,2.452296819787986,3.573558173753635,0
crowd_train,50,-24,1,1,0.4341241797072186,0.6054206265399507,2.498233215547703,3.623706230508727,0
crowd_train,200,-26,1,1,0.4341241797072186,0.6054206265399507,2.917718324078748,4.59901444570268,0
crowd_train,50,-33,1,1,0.4336193841494195,0.6049295774647887,2.634528016153458,4.025348756293426,0
crowd_train,200,-28,1,1,0.4336193841494195,0.6049295774647887,3.023725391216557,4.842392306586011,0
crowd_train,200,-25,1,1,0.4331145885916204,0.6044381824586122,2.86673397274104,4.507943518980469,0
crowd_train,50,-35,1,1,0.4326097930338213,0.6039464411557435,2.702675416456335,4.140881006177253,0
crowd_train,100,-39,1,1,0.4326097930338213,0.6039464411557435,2.934376577486118,4.715371664500751,0
crowd_train,50,-30,1,1,0.4321049974760222,0.6034543531899894,2.528520949015649,3.708660750641914,0
crowd_train,100,-38,1,1,0.4321049974760222,0.6034543531899894,2.876829883897022,4.601154300665876,0
crowd_train,50,-21,1,1,0.430590610802625,0.6019760056457304,2.516405855628471,3.606531177989341,0
crowd_train,50,-23,1,1,0.4300858152448259,0.6014825273561596,2.513377082281676,3.614500495420949,0
crowd_train,200,-29,1,1,0.4295810196870268,0.6009887005649718,3.085815244825846,4.940381565744073,0
crowd_train,50,-36,1,1,0.4285714285714285,0.6,2.773851590106007,4.2700960578494,0
crowd_train,50,-22,1,1,0.4275618374558304,0.599009900990099,2.549722362443211,3.621197896407624,0
crowd_train,150,-39,1,1,0.4270570418980313,0.5985143261407853,3.198889449772842,5.217964929070489,0
crowd_train,100,-40,1,1,0.4265522463402322,0.5980184005661713,3.017163048965169,4.815264723396385,0
crowd_train,150,-38,1,1,0.4265522463402322,0.5980184005661713,3.158505805148915,5.136648616617717,0
crowd_train,150,-35,1,1,0.4235234729934377,0.5950354609929078,3.092882382635033,4.956804836258452,0
crowd_train,250,-20,1,1,0.4215042907622413,0.5930397727272727,3.021706208985361,4.771825439095757,0
crowd_train,200,-30,1,1,0.4194851085310449,0.5910384068278806,3.139828369510348,5.025025710603494,0
crowd_train,150,-36,1,1,0.4189803129732458,0.5905371753824261,3.13326602725896,5.013711638269731,0
crowd_train,50,-37,1,1,0.4184755174154468,0.590035587188612,2.856133266027259,4.416023322956356,0
crowd_train,50,-20,1,1,0.4179707218576477,0.5895336418654326,2.517415446744069,3.615198720260931,0
crowd_train,200,-31,1,1,0.4179707218576477,0.5895336418654326,3.186774356385664,5.099563976570526,0
crowd_train,250,-21,1,1,0.4174659262998486,0.5890313390313391,3.009086320040383,4.7385452626794,0
crowd_train,250,-19,1,1,0.4169611307420495,0.5885286783042394,3.091367995961635,4.877913838150278,0
crowd_train,150,-37,1,1,0.4169611307420495,0.5885286783042394,3.175164058556285,5.090696842897812,0
crowd_train,250,-23,1,1,0.4139323573952549,0.585505176722599,3.052498738011105,4.798777818490532,0
crowd_train,150,-15,1,1,0.4134275618374558,0.585,3.310449268046441,5.38614896811384,0
crowd_train,250,-22,1,1,0.4119131751640586,0.5834823024669289,3.020696617869763,4.750939756661683,0
crowd_train,150,-40,1,1,0.4119131751640586,0.5834823024669289,3.250883392226148,5.275164444757406,0
crowd_train,50,-38,1,1,0.4109035840484604,0.5824686940966011,2.959616355376073,4.574085863218895,0
crowd_train,200,-32,1,1,0.4078748107016658,0.5794191466475439,3.222614840989399,5.151711487151141,0
crowd_train,200,-33,1,1,0.4068652195860676,0.5783997129529961,3.25542655224634,5.207603263655996,0
crowd_train,250,-24,1,1,0.4028268551236749,0.5743073047858942,3.130742049469965,4.899391632076618,0
crowd_train,50,-39,1,1,0.4023220595658758,0.5737940964722822,3.09439676930843,4.74647508626912,0
crowd_train,200,-34,1,1,0.4023220595658758,0.5737940964722822,3.284704694598688,5.24527142164482,0
crowd_train,200,-36,1,1,0.4013124684502776,0.5727665706051873,3.353861686017163,5.342863351568952,0
crowd_train,250,-18,1,1,0.4003028773346795,0.5717375630857967,3.19434628975265,5.041473627341936,0
crowd_train,200,-35,1,1,0.3997980817768804,0.5712225027046519,3.318021201413428,5.301462276728942,0
crowd_train,200,-38,1,1,0.3982836951034831,0.5696750902527076,3.365976779404341,5.440050033917844,0
crowd_train,250,-28,1,1,0.3962645128722867,0.5676066522053507,3.296819787985866,5.219802700505639,0
crowd_train,200,-16,1,1,0.3962645128722867,0.5676066522053507,3.35537607269056,5.394811200116887,0
crowd_train,200,-39,1,1,0.3962645128722867,0.5676066522053507,3.394750126198889,5.499254228728271,0
crowd_train,250,-25,1,1,0.3942453306410904,0.5655322230267922,3.180716809692075,4.974899134990744,0
crowd_train,250,-29,1,1,0.3927309439676931,0.5639724537876042,3.337708228167592,5.294268423715627,0
crowd_train,200,-40,1,1,0.392226148409894,0.5634517766497461,3.430085815244826,5.538949324227057,0
crowd_train,250,-26,1,1,0.3907117617364967,0.5618874773139746,3.23321554770318,5.072766814069446,0
crowd_train,200,-37,1,1,0.3907117617364967,0.5618874773139746,3.372539121655729,5.387882528633336,0
crowd_train,250,-27,1,1,0.3876829883897022,0.5587486358675882,3.262493690055527,5.12257625429531,0
crowd_train,250,-17,1,1,0.3876829883897022,0.5587486358675882,3.365976779404341,5.338988252262697,0
crowd_train,250,-32,1,1,0.386673397274104,0.5576993083363669,3.414437152953054,5.430855812032328,0
crowd_train,250,-30,1,1,0.3861686017163049,0.5571740713765477,3.370519939424533,5.345838653913898,0
crowd_train,250,-33,1,1,0.3861686017163049,0.5571740713765477,3.447248864209995,5.472015908416997,0
crowd_train,250,-31,1,1,0.3846542150429076,0.5555960627050675,3.392730943967693,5.388444644704624,0
crowd_train,300,-22,1,1,0.3841494194851086,0.5550692924872357,3.235739525492176,5.032554294381335,0
crowd_train,50,-40,1,1,0.3836446239273094,0.5545421379058737,3.176173649671883,4.772354343170612,0
crowd_train,250,-34,1,1,0.3836446239273094,0.5545421379058737,3.469459868753155,5.501823845182842,0
crowd_train,300,-20,1,1,0.3826350328117112,0.5534866739686017,3.250378596668349,5.046827662984813,0
crowd_train,250,-35,1,1,0.3821302372539122,0.5529583637691746,3.49469964664311,5.530923575514557,0
crowd_train,250,-37,1,1,0.3816254416961131,0.5524296675191815,3.508833922261484,5.602831547784754,0
crowd_train,250,-39,1,1,0.3801110550227158,0.5508412582297001,3.52195860676426,5.661715527629422,0
crowd_train,250,-40,1,1,0.3796062594649167,0.5503110135382363,3.534578495709238,5.681696570677802,0
crowd_train,250,-36,1,1,0.3791014639071176,0.5497803806734993,3.498738011105502,5.541227246219499,0
crowd_train,250,-38,1,1,0.3750630994447249,0.5455212922173275,3.51085310449268,5.628629851307401,0
crowd_train,300,-30,1,1,0.3745583038869258,0.5449871465295629,3.499242806663301,5.513418077703312,0
crowd_train,300,-28,1,1,0.370519939424533,0.5406998158379374,3.462897526501767,5.449043467411739,0
